Reg,Faculty,Province,Year,Language,Friends,SameProvince_pct,SameFaculty_pct,SocMember,Societies,SocHours,ComfortScore,Hobbies,Barriers,FriendshipForm,MixerInterest,Silo_Index,data_source,Silo_Label
ANON-2024519,Electrical Engineering (EE),Punjab,3rd Year,Pashto,4.0,37.5,37.5,Yes,Project Topi,0.5,5.0,"Travelling, Football, Skating, Fitness",I already interact with diverse groups — no barrier,Hostel wing / roommate,No,0.609375,synthetic,Moderate
ANON-2023967,Data Science,KPK,3rd Year,Urdu,1.0,62.5,37.5,Yes,Microsoft Club Giki,1.5,5.0,"Cricket, Art, Music, Reading",Never thought about it,Hostel wing / roommate,"Yes, definitely",0.765625,synthetic,Moderate
ANON-2023578,Data Science,Punjab,2nd Year,Urdu,4.0,87.5,37.5,Yes,"Microsoft Club Giki, Science Society",0.5,4.0,"Debating, Fitness, Cooking",I already interact with diverse groups — no barrier,Hostel wing / roommate,Maybe,0.921875,synthetic,High
ANON-2023337,Data Science,KPK,2nd Year,Punjabi,4.0,37.5,87.5,No,,0.0,5.0,"Fitness, Cooking, Cricket",I already interact with diverse groups — no barrier,Shared classes,No,0.921875,synthetic,High
ANON-2024535,Computer Science (CS),Punjab,2nd Year,Urdu,1.0,37.5,62.5,No,,0.0,5.0,"Football, Fitness",Never thought about it,Society / club,"Yes, definitely",0.765625,synthetic,Moderate
ANON-2024522,Computer Science (CS),Punjab,2nd Year,Punjabi,12.0,62.5,12.5,Yes,"Project Topi, ACM",7.0,5.0,"Cricket, Art, Football, Music",I already interact with diverse groups — no barrier,Hostel wing / roommate,Maybe,0.671875,synthetic,Moderate
ANON-2024351,Data Science,Punjab,3rd Year,Urdu,1.0,62.5,62.5,Yes,Project Topi,0.5,4.0,"Music, Cooking, Reading",Never thought about it,Shared classes,"Yes, definitely",0.859375,synthetic,High
ANON-2024527,Data Science,KPK,1st Year (Freshie),Pashto,1.0,12.5,37.5,Yes,Microsoft Club Giki,4.0,3.0,"Debating, Travelling, Fitness",I already interact with diverse groups — no barrier,Hostel wing / roommate,"Yes, definitely",0.453125,synthetic,Low
ANON-2024777,Data Science,KPK,3rd Year,Urdu,4.0,62.5,12.5,Yes,"ACM, Microsoft Club Giki",0.5,5.0,"Gaming, Music",Never thought about it,Shared classes,Maybe,0.671875,synthetic,Moderate
ANON-2023218,Data Science,Sindh,3rd Year,Urdu,4.0,12.5,12.5,Yes,ACM,4.0,5.0,"Reading, Skating",I already interact with diverse groups — no barrier,Shared classes,"Yes, definitely",0.234375,synthetic,Low
ANON-2024424,Computer Science (CS),KPK,3rd Year,Urdu,12.0,12.5,12.5,Yes,"Microsoft Club Giki, Project Topi",1.5,5.0,"Music, Reading, Football, Debating",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.234375,synthetic,Low
ANON-2023279,Computer Science (CS),Punjab,3rd Year,Urdu,4.0,12.5,12.5,Yes,ACM,1.5,3.0,"Art, Football, Fitness",I already interact with diverse groups — no barrier,Society / club,Maybe,0.234375,synthetic,Low
ANON-2024622,Computer Engineering,KPK,4th Year,Punjabi,1.0,12.5,37.5,Yes,"Microsoft Club Giki, Project Topi",0.5,3.0,"Art, Reading, Travelling, Fitness",I already interact with diverse groups — no barrier,Hostel wing / roommate,Maybe,0.453125,synthetic,Low
ANON-2023863,Computer Science (CS),Punjab,4th Year,Urdu,1.0,12.5,12.5,Yes,"GDSC, ACM",0.5,4.0,"Reading, Coding / Programming",I already interact with diverse groups — no barrier,Society / club,Maybe,0.234375,synthetic,Low
ANON-2024780,Computer Engineering,Punjab,3rd Year,Urdu,4.0,12.5,12.5,Yes,"Microsoft Club Giki, Science Society",7.0,4.0,"Debating, Fitness, Music",Never thought about it,Hostel wing / roommate,"Yes, definitely",0.234375,synthetic,Low
ANON-2024736,Software Engineering,Punjab,2nd Year,Urdu,8.0,37.5,37.5,Yes,ACM,7.0,3.0,"Fitness, Gaming",I already interact with diverse groups — no barrier,Shared classes,"Yes, definitely",0.609375,synthetic,Moderate
ANON-2024802,Software Engineering,International Student,1st Year (Freshie),Urdu,4.0,37.5,37.5,Yes,"IEEE, Science Society",4.0,1.0,"Gaming, Travelling, Fitness",I already interact with diverse groups — no barrier,Shared classes,"Yes, definitely",0.609375,synthetic,Moderate
ANON-2024125,Computer Science (CS),Punjab,4th Year,Pashto,4.0,12.5,37.5,Yes,ACM,1.5,1.0,"Music, Travelling, Hiking",Lack of time,Society / club,No,0.453125,synthetic,Low
ANON-2023347,Computer Engineering,Punjab,2nd Year,Urdu,8.0,12.5,37.5,Yes,"Microsoft Club Giki, GDSC",4.0,4.0,"Gaming, Fitness",I already interact with diverse groups — no barrier,Shared classes,"Yes, definitely",0.453125,synthetic,Low
ANON-2024348,Computer Science (CS),Punjab,3rd Year,Pashto,1.0,12.5,12.5,Yes,"Microsoft Club Giki, IEEE",4.0,3.0,"Cooking, Music, Coding / Programming",I already interact with diverse groups — no barrier,Hostel wing / roommate,"Yes, definitely",0.234375,synthetic,Low
ANON-2024664,Computer Science (CS),KPK,2nd Year,Urdu,1.0,37.5,12.5,Yes,"Microsoft Club Giki, ACM",7.0,3.0,"Travelling, Gaming, Music, Coding / Programming",Lack of time,Random / organic,Maybe,0.453125,synthetic,Low
ANON-2025635,Data Science,KPK,2nd Year,Other,4.0,37.5,87.5,Yes,Microsoft Club Giki,0.5,3.0,"Debating, Art, Travelling",I already interact with diverse groups — no barrier,Society / club,Maybe,0.921875,synthetic,High
ANON-2024148,Data Science,KPK,2nd Year,Pashto,4.0,12.5,37.5,Yes,Project Topi,0.5,4.0,"Music, Travelling, Debating, Art",Social anxiety,Society / club,No,0.453125,synthetic,Low
ANON-2024455,Computer Science (CS),Sindh,2nd Year,Urdu,4.0,62.5,12.5,Yes,"Project Topi, ACM",0.5,3.0,"Debating, Gaming",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.671875,synthetic,Moderate
ANON-2023158,Software Engineering,KPK,2nd Year,Pashto,4.0,62.5,87.5,Yes,Microsoft Club Giki,1.5,1.0,"Art, Music, Football, Cooking",I already interact with diverse groups — no barrier,Random / organic,"Yes, definitely",0.953125,synthetic,High
ANON-2023108,Computer Engineering,KPK,2nd Year,Urdu,1.0,87.5,12.5,Yes,Microsoft Club Giki,7.0,5.0,"Music, Art, Cooking",I already interact with diverse groups — no barrier,Hostel wing / roommate,"Yes, definitely",0.890625,synthetic,Moderate
ANON-2025560,Computer Engineering,KPK,2nd Year,Urdu,8.0,12.5,37.5,Yes,"Microsoft Club Giki, GDSC",0.5,5.0,"Travelling, Cricket, Debating",I already interact with diverse groups — no barrier,Random / organic,No,0.453125,synthetic,Low
ANON-2025774,Computer Engineering,Punjab,4th Year,Other,4.0,12.5,12.5,Yes,"Project Topi, GDSC",0.5,3.0,"Cooking, Music, Travelling, Debating",I already interact with diverse groups — no barrier,Shared classes,"Yes, definitely",0.234375,synthetic,Low
ANON-2024916,Computer Engineering,Punjab,3rd Year,Pashto,4.0,87.5,37.5,Yes,"Science Society, Microsoft Club Giki",1.5,5.0,"Fitness, Hiking, Music, Art",Lack of time,Society / club,"Yes, definitely",0.921875,synthetic,High
ANON-2024126,Data Science,Punjab,3rd Year,Urdu,1.0,62.5,12.5,Yes,IEEE,0.5,5.0,"Reading, Music, Fitness",Never thought about it,Random / organic,No,0.671875,synthetic,Moderate
ANON-2023117,Computer Science (CS),KPK,2nd Year,Punjabi,1.0,12.5,62.5,Yes,Project Topi,0.5,4.0,"Hiking, Cooking, Skating",I already interact with diverse groups — no barrier,Shared classes,Maybe,0.671875,synthetic,Moderate
ANON-2024662,Computer Science (CS),KPK,4th Year,Punjabi,4.0,12.5,87.5,Yes,"Project Topi, IEEE",1.5,5.0,"Cooking, Music",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.890625,synthetic,Moderate
ANON-2024559,Computer Science (CS),KPK,2nd Year,Urdu,12.0,87.5,37.5,Yes,"ACM, Microsoft Club Giki",0.5,5.0,"Art, Travelling, Coding / Programming, Hiking",Lack of time,Hostel wing / roommate,"Yes, definitely",0.921875,synthetic,High
ANON-2023771,Data Science,Punjab,2nd Year,Other,8.0,12.5,12.5,Yes,Project Topi,0.5,5.0,"Cooking, Music, Travelling",Lack of time,Society / club,"Yes, definitely",0.234375,synthetic,Low
ANON-2023116,Data Science,Punjab,3rd Year,Pashto,4.0,12.5,87.5,Yes,"Project Topi, Microsoft Club Giki",4.0,4.0,"Music, Debating, Gaming, Coding / Programming, Art",Never thought about it,Shared classes,"Yes, definitely",0.890625,synthetic,Moderate
ANON-2023200,Computer Engineering,Punjab,4th Year,Urdu,4.0,12.5,12.5,Yes,"ACM, Microsoft Club Giki",7.0,5.0,"Music, Reading, Fitness, Art",Never thought about it,Society / club,Maybe,0.234375,synthetic,Low
ANON-2024567,Computer Science (CS),KPK,2nd Year,Urdu,1.0,37.5,12.5,Yes,"Microsoft Club Giki, Project Topi",7.0,5.0,"Fitness, Coding / Programming, Music",I already interact with diverse groups — no barrier,Society / club,Maybe,0.453125,synthetic,Low
ANON-2025626,Computer Science (CS),Punjab,2nd Year,Punjabi,1.0,37.5,12.5,Yes,IEEE,0.5,3.0,"Travelling, Art, Debating",I already interact with diverse groups — no barrier,Random / organic,"Yes, definitely",0.453125,synthetic,Low
ANON-2024257,Computer Engineering,KPK,1st Year (Freshie),Urdu,4.0,87.5,37.5,Yes,Project Topi,4.0,5.0,"Reading, Fitness, Football, Gaming",I already interact with diverse groups — no barrier,Hostel wing / roommate,"Yes, definitely",0.921875,synthetic,High
ANON-2024106,Data Science,Punjab,2nd Year,Urdu,4.0,12.5,12.5,Yes,Project Topi,7.0,4.0,"Reading, Cooking, Fitness",Social anxiety,Society / club,"Yes, definitely",0.234375,synthetic,Low
ANON-2024220,Computer Science (CS),Punjab,2nd Year,Urdu,1.0,12.5,37.5,Yes,"Science Society, ACM",4.0,5.0,"Football, Cooking",Never thought about it,Hostel wing / roommate,"Yes, definitely",0.453125,synthetic,Low
ANON-2024939,Data Science,Balochistan,1st Year (Freshie),Urdu,1.0,87.5,37.5,Yes,"Science Society, Project Topi",0.5,4.0,"Travelling, Music, Art",Social anxiety,Random / organic,No,0.921875,synthetic,High
ANON-2024982,Computer Engineering,KPK,2nd Year,Urdu,4.0,12.5,12.5,Yes,"ACM, Microsoft Club Giki",0.5,4.0,"Cooking, Music, Football",Never thought about it,Hostel wing / roommate,Maybe,0.234375,synthetic,Low
ANON-2024270,Data Science,KPK,2nd Year,Pashto,4.0,12.5,12.5,No,,0.0,5.0,"Travelling, Reading, Debating, Music, Coding / Programming",Lack of time,Society / club,"Yes, definitely",0.234375,synthetic,Low
ANON-2024948,Data Science,Punjab,2nd Year,Pashto,4.0,62.5,12.5,Yes,"Microsoft Club Giki, Project Topi",0.5,4.0,"Music, Fitness, Art",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.671875,synthetic,Moderate
ANON-2024773,Computer Science (CS),Punjab,2nd Year,Urdu,1.0,87.5,12.5,Yes,Microsoft Club Giki,0.5,5.0,"Art, Coding / Programming, Debating",I already interact with diverse groups — no barrier,Shared classes,"Yes, definitely",0.890625,synthetic,Moderate
ANON-2024191,Data Science,KPK,2nd Year,Punjabi,4.0,37.5,12.5,Yes,GDSC,1.5,5.0,"Cooking, Music, Art, Cricket",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.453125,synthetic,Low
ANON-2024157,Computer Science (CS),KPK,2nd Year,Urdu,4.0,12.5,37.5,Yes,Microsoft Club Giki,0.5,5.0,"Fitness, Art, Music",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.453125,synthetic,Low
ANON-2024869,Computer Science (CS),Balochistan,2nd Year,Urdu,4.0,62.5,37.5,Yes,"Microsoft Club Giki, IEEE",7.0,1.0,"Football, Cooking",No shared classes,Shared classes,No,0.765625,synthetic,Moderate
ANON-2024651,Electrical Engineering (EE),KPK,2nd Year,Urdu,12.0,37.5,62.5,Yes,"GDSC, ACM",4.0,5.0,"Music, Reading",I already interact with diverse groups — no barrier,Hostel wing / roommate,Maybe,0.765625,synthetic,Moderate
ANON-2024906,Data Science,KPK,4th Year,Pashto,4.0,37.5,12.5,No,,0.0,4.0,"Coding / Programming, Fitness, Cooking",I already interact with diverse groups — no barrier,Shared classes,Maybe,0.453125,synthetic,Low
ANON-2023338,Computer Science (CS),KPK,2nd Year,Pashto,4.0,37.5,12.5,Yes,"ACM, Project Topi",1.5,4.0,"Art, Cricket",I already interact with diverse groups — no barrier,Shared classes,No,0.453125,synthetic,Low
ANON-2024954,Computer Science (CS),Punjab,1st Year (Freshie),Pashto,4.0,37.5,12.5,Yes,"Microsoft Club Giki, ACM",0.5,4.0,"Music, Cooking, Skating",I already interact with diverse groups — no barrier,Society / club,Maybe,0.453125,synthetic,Low
ANON-2024725,Software Engineering,Punjab,2nd Year,Urdu,8.0,37.5,12.5,Yes,"Science Society, Project Topi",7.0,5.0,"Cooking, Art, Reading",Lack of time,Hostel wing / roommate,Maybe,0.453125,synthetic,Low
ANON-2025938,Software Engineering,Punjab,4th Year,Punjabi,1.0,37.5,37.5,Yes,ACM,4.0,5.0,"Hiking, Coding / Programming, Cooking, Music",I already interact with diverse groups — no barrier,Random / organic,Maybe,0.609375,synthetic,Moderate
ANON-2024265,Software Engineering,KPK,4th Year,Urdu,4.0,12.5,62.5,Yes,ACM,4.0,4.0,"Cooking, Coding / Programming, Art",I already interact with diverse groups — no barrier,Shared classes,No,0.671875,synthetic,Moderate
ANON-2025491,Data Science,Punjab,2nd Year,Punjabi,8.0,12.5,37.5,Yes,Microsoft Club Giki,0.5,5.0,"Reading, Art, Coding / Programming, Hiking",I already interact with diverse groups — no barrier,Random / organic,"Yes, definitely",0.453125,synthetic,Low
ANON-2024133,Software Engineering,KPK,2nd Year,Other,4.0,12.5,87.5,Yes,"Project Topi, Microsoft Club Giki",0.5,5.0,"Music, Hiking",I already interact with diverse groups — no barrier,Shared classes,"Yes, definitely",0.890625,synthetic,Moderate
ANON-2024929,Data Science,KPK,2nd Year,Pashto,4.0,62.5,87.5,No,,0.0,5.0,"Coding / Programming, Travelling, Gaming, Cricket, Reading",No shared classes,Hostel wing / roommate,No,0.953125,synthetic,High
ANON-2024848,Computer Science (CS),Punjab,2nd Year,Urdu,4.0,87.5,12.5,Yes,Microsoft Club Giki,1.5,5.0,"Fitness, Art, Cricket",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.890625,synthetic,Moderate
ANON-2025443,Computer Science (CS),Punjab,2nd Year,Punjabi,1.0,62.5,87.5,Yes,Microsoft Club Giki,4.0,5.0,"Football, Gaming, Reading, Art",Lack of time,Society / club,"Yes, definitely",0.953125,synthetic,High
ANON-2024814,Software Engineering,International Student,1st Year (Freshie),Urdu,8.0,62.5,12.5,Yes,Science Society,0.5,3.0,"Music, Art, Travelling, Football, Reading",I already interact with diverse groups — no barrier,Random / organic,"Yes, definitely",0.671875,synthetic,Moderate
ANON-2024500,Data Science,KPK,4th Year,Urdu,1.0,12.5,37.5,Yes,"Microsoft Club Giki, Project Topi",0.5,5.0,"Coding / Programming, Cricket",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.453125,synthetic,Low
ANON-2024731,Data Science,Punjab,2nd Year,Urdu,4.0,12.5,12.5,Yes,"ACM, IEEE",1.5,5.0,"Cooking, Hiking, Football",No shared classes,Hostel wing / roommate,"Yes, definitely",0.234375,synthetic,Low
ANON-2023783,Software Engineering,Punjab,2nd Year,Urdu,1.0,12.5,62.5,Yes,"Project Topi, Science Society",0.5,3.0,"Hiking, Reading, Cooking, Gaming, Fitness",I already interact with diverse groups — no barrier,Hostel wing / roommate,Maybe,0.671875,synthetic,Moderate
ANON-2024838,Data Science,KPK,4th Year,Urdu,8.0,12.5,12.5,Yes,"Microsoft Club Giki, ACM",1.5,4.0,"Gaming, Art, Travelling",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.234375,synthetic,Low
ANON-2024155,Software Engineering,Punjab,1st Year (Freshie),Pashto,4.0,12.5,62.5,Yes,ACM,0.5,4.0,"Fitness, Debating, Football",Never thought about it,Hostel wing / roommate,No,0.671875,synthetic,Moderate
ANON-2024672,Computer Engineering,Punjab,3rd Year,Urdu,4.0,12.5,37.5,Yes,GDSC,0.5,4.0,"Coding / Programming, Cooking, Art, Music",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.453125,synthetic,Low
ANON-2024665,Computer Engineering,Punjab,1st Year (Freshie),Urdu,4.0,12.5,62.5,Yes,Project Topi,1.5,4.0,"Cooking, Reading, Music",Never thought about it,Hostel wing / roommate,Maybe,0.671875,synthetic,Moderate
ANON-2025740,Data Science,KPK,3rd Year,Pashto,4.0,37.5,12.5,Yes,Project Topi,1.5,4.0,"Reading, Travelling, Debating, Music, Art",Never thought about it,Society / club,Maybe,0.453125,synthetic,Low
ANON-2024677,Computer Engineering,Balochistan,2nd Year,Urdu,1.0,12.5,37.5,Yes,"GDSC, Microsoft Club Giki",4.0,4.0,"Fitness, Art, Debating, Cooking",I already interact with diverse groups — no barrier,Society / club,Maybe,0.453125,synthetic,Low
ANON-2024799,Computer Science (CS),Sindh,1st Year (Freshie),Urdu,1.0,37.5,87.5,No,,0.0,3.0,"Skating, Coding / Programming, Music, Reading",I already interact with diverse groups — no barrier,Random / organic,Maybe,0.921875,synthetic,High
ANON-2025765,Data Science,International Student,1st Year (Freshie),Urdu,4.0,87.5,37.5,Yes,"IEEE, Microsoft Club Giki",0.5,1.0,"Reading, Gaming, Music",I already interact with diverse groups — no barrier,Hostel wing / roommate,Maybe,0.921875,synthetic,High
ANON-2024416,Computer Engineering,Punjab,1st Year (Freshie),Urdu,1.0,12.5,62.5,Yes,"GDSC, Science Society",0.5,4.0,"Music, Travelling, Cooking",I already interact with diverse groups — no barrier,Hostel wing / roommate,Maybe,0.671875,synthetic,Moderate
ANON-2024641,Other,Punjab,1st Year (Freshie),Urdu,4.0,87.5,62.5,Yes,Microsoft Club Giki,4.0,4.0,"Travelling, Gaming",I already interact with diverse groups — no barrier,Shared classes,"Yes, definitely",0.953125,synthetic,High
ANON-2025626,Data Science,KPK,4th Year,Pashto,8.0,12.5,37.5,Yes,"ACM, Project Topi",0.5,5.0,"Debating, Art, Fitness",I already interact with diverse groups — no barrier,Shared classes,Maybe,0.453125,synthetic,Low
ANON-2024937,Data Science,International Student,4th Year,Urdu,1.0,37.5,12.5,Yes,"Project Topi, GDSC",0.5,5.0,"Hiking, Cooking, Debating",I already interact with diverse groups — no barrier,Hostel wing / roommate,"Yes, definitely",0.453125,synthetic,Low
ANON-2024926,Data Science,Balochistan,4th Year,Urdu,4.0,37.5,12.5,Yes,Microsoft Club Giki,7.0,4.0,"Art, Coding / Programming, Cooking",Never thought about it,Hostel wing / roommate,"Yes, definitely",0.453125,synthetic,Low
ANON-2025338,Data Science,Punjab,2nd Year,Other,1.0,37.5,87.5,No,,0.0,4.0,"Reading, Music, Gaming, Hiking",I already interact with diverse groups — no barrier,Hostel wing / roommate,"Yes, definitely",0.921875,synthetic,High
ANON-2024766,Software Engineering,Balochistan,2nd Year,Pashto,4.0,12.5,12.5,Yes,"Microsoft Club Giki, Project Topi",4.0,4.0,"Music, Gaming, Football",I already interact with diverse groups — no barrier,Society / club,Maybe,0.234375,synthetic,Low
ANON-2024344,Computer Engineering,Balochistan,2nd Year,Pashto,4.0,12.5,12.5,Yes,Project Topi,1.5,5.0,"Coding / Programming, Cooking, Hiking",I already interact with diverse groups — no barrier,Shared classes,No,0.234375,synthetic,Low
ANON-2024660,Data Science,Punjab,2nd Year,Punjabi,4.0,12.5,37.5,Yes,"Project Topi, ACM",4.0,5.0,"Fitness, Cricket, Travelling",I already interact with diverse groups — no barrier,Society / club,Maybe,0.453125,synthetic,Low
